word	concreteness	familiarity	imageability	age_of_acquisition	freq_zh	log_freq_zh	context_div_zh	freq_mn
家庭	5.8	6.409091	4.4	8.105263157894736	14955.0	37004.0	2435.0	5
圣诞	5.2	5.869565	5.6	9.5	6179.0	33166.0	521.0	1
帐逢	NA	NA	NA	NA	NA	NA	NA	1
菊花	6.1	6.555556	5.8	7.7	173.0	17634.0	41.0	9
下巴	5.7	6.384615	6.2	8.173913043478262	1169.0	25933.0	292.0	3
桌子	6.15	6.76	5.35	6.9411764705882355	4892.0	32151.0	1129.0	594
老婆婆	NA	NA	NA	NA	98.0	15185.0	23.0	1
滚轮椅	NA	NA	NA	NA	NA	NA	NA	1
岩石	6.1	6.036131	5.45	8.45	1058.0	25502.0	178.0	2
警示牌	NA	NA	NA	NA	6.0	301.0	2.0	1
冲浪者	NA	NA	NA	NA	NA	NA	NA	27
炖牛肉	NA	NA	NA	NA	NA	NA	NA	1
城楼	5.5	5.666667	4.55	11.857142857142858	3.0	0.0	1.0	7
火车轨道	NA	NA	NA	NA	NA	NA	NA	2
土司	NA	NA	NA	NA	203.0	18325.0	46.0	6
毛	NA	NA	NA	NA	6165.0	33156.0	1176.0	10
牛头	NA	NA	NA	NA	NA	NA	NA	1
马车和男人	NA	NA	NA	NA	NA	NA	NA	1
机箱盖	NA	NA	NA	NA	NA	NA	NA	1
巨嘴鸟风筝	NA	NA	NA	NA	NA	NA	NA	1
遮阳布	NA	NA	NA	NA	NA	NA	NA	1
恤	NA	NA	NA	NA	1386.0	26675.0	300.0	52
僧服	NA	NA	NA	NA	NA	NA	NA	1
巴士	6.1	5.75	6.2	9.176470588235293	1321.0	26464.0	206.0	64
妇人	5.35	5.666667	4.7	10.894736842105264	313.0	20212.0	83.0	3
折叠桌	NA	NA	NA	NA	NA	NA	NA	1
烤	NA	NA	NA	NA	4966.0	32217.0	946.0	1
桅杆	5.2	4.481481	4.85	11.476190476190476	75.0	13979.0	16.0	1
针织衫	NA	NA	NA	NA	NA	NA	NA	2
饭店	5.85	6.208333	5.25	7.85	1923.0	28096.0	345.0	23
卡車	NA	NA	NA	NA	NA	NA	NA	1
铜狗	NA	NA	NA	NA	NA	NA	NA	1
摄影师	NA	6.04	NA	12.047619047619047	2227.0	28733.0	338.0	1
庙	NA	NA	NA	NA	289.0	19868.0	49.0	2
披萨	NA	NA	NA	NA	551.0	22672.0	116.0	341
跳舞	5.45	6.562831	5.9	7.9375	10311.0	3539.0	1174.0	1
蛋饼	NA	NA	NA	NA	NA	NA	NA	3
老太太	NA	5.875	NA	NA	784.0	242.0	188.0	9
挂钟	5.3	5.875	5.2	8.23076923076923	18.0	7782.0	5.0	1
港口	5.25	5.222222	5.15	11.8125	885.0	24728.0	189.0	4
捅	NA	NA	NA	NA	1774.0	27745.0	404.0	1
狗娃娃	NA	NA	NA	NA	NA	NA	NA	1
小贩	5.4	6.1	5.65	9.954545454545455	164.0	17404.0	41.0	1
玫瑰	5.5	6.111111	5.75	7.318181818181818	1753.0	27694.0	332.0	7
餐盘	NA	NA	NA	NA	63.0	13222.0	21.0	1
球棒	5.75	NA	5.1	NA	NA	NA	NA	1
运动人	NA	NA	NA	NA	NA	NA	NA	1
车辆	6.35	6.791667	5.7	9.8	1428.0	26803.0	302.0	3
地毯	6.35	5.037037	6.2	7.909090909090909	1786.0	27774.0	385.0	1
座位	5.2	6.344017	5.55	7.904761904761905	265.0	29489.0	578.0	11
西装打领带	NA	NA	NA	NA	NA	NA	NA	1
铁道	6.0	5.961538	4.8	9.142857142857142	98.0	15185.0	19.0	1
遗迹	5.3	5.285714	4.5	12.65	194.0	18129.0	40.0	1
杯	NA	NA	NA	NA	22479.0	38774.0	3094.0	8
爵巴塔面包	NA	NA	NA	NA	NA	NA	NA	1
椅背	6.05	5.863636	5.65	10.157894736842104	39.0	11139.0	9.0	2
披萨边	NA	NA	NA	NA	NA	NA	NA	5
雀	NA	NA	NA	NA	185.0	17924.0	32.0	2
鹦鹉	5.9	5.888889	5.75	7.8	379.0	21038.0	91.0	44
鼠标	NA	5.740741	NA	12.3	51.0	12304.0	15.0	5
货车	5.8	5.56	6.35	10.3	1896.0	28035.0	324.0	77
哭泣的婴儿	NA	NA	NA	NA	NA	NA	NA	1
妻子	5.7	6.571429	5.45	9.454545454545455	19358.0	38125.0	2401.0	1
特务西装	NA	NA	NA	NA	NA	NA	NA	1
爸爸	5.9	6.84	5.1	NA	65372.0	4341.0	3747.0	1
裁判员	NA	NA	NA	NA	86.0	14624.0	20.0	1
冰淇凌	NA	NA	NA	NA	NA	NA	NA	1
罐	NA	NA	NA	NA	2212.0	28704.0	490.0	1
少男	4.7	NA	4.8	NA	42.0	11461.0	13.0	1
扶手	5.65	5.75	5.4	11.136363636363637	182.0	17853.0	54.0	1
起重车	NA	NA	NA	NA	NA	NA	NA	1
沙地	NA	NA	NA	NA	83.0	14472.0	24.0	1
小路	NA	6.166667	NA	7.545454545454546	495.0	22201.0	123.0	4
男子	5.8	6.357143	5.8	8.285714285714286	1747.0	27679.0	415.0	11
长者	5.95	6.181818	5.35	10.117647058823529	11.0	15682.0	30.0	2
床边	NA	NA	NA	NA	NA	NA	NA	1
电灯	5.95	6.833333	5.65	5.964285714285714	125.0	16232.0	40.0	1
夹心	NA	5.571429	NA	10.714285714285714	191.0	18062.0	38.0	2
爱尔兰酒吧	NA	NA	NA	NA	NA	NA	NA	1
批塞	NA	NA	NA	NA	NA	NA	NA	1
吃	NA	NA	NA	NA	6.0	301.0	2.0	3
庄园	5.2	5.423077	4.7	11.15	647.0	23365.0	91.0	1
僧侣	5.1	NA	5.5	NA	209.0	18451.0	35.0	4
水盆	NA	NA	NA	NA	NA	NA	NA	1
车板	NA	NA	NA	NA	NA	NA	NA	1
面包圈	NA	NA	NA	NA	NA	NA	NA	7
安全帽	NA	NA	NA	NA	72.0	13802.0	20.0	3
通心粉	NA	NA	NA	NA	334.0	20492.0	68.0	15
上一	NA	NA	NA	NA	NA	NA	NA	1
运输卡车	NA	NA	NA	NA	NA	NA	NA	1
烤面包	NA	NA	NA	NA	NA	NA	NA	1
小吃	5.65	6.307692	5.1	8.944444444444445	286.0	19823.0	82.0	1
夏天长裙	NA	NA	NA	NA	NA	NA	NA	1
湖	NA	NA	NA	NA	2462.0	2917.0	385.0	4
糖霜	4.95	NA	5.1	NA	125.0	16232.0	31.0	4
鸟类动物	NA	NA	NA	NA	NA	NA	NA	1
头盔	5.95	6.136364	6.15	9.571428571428571	1073.0	25563.0	209.0	77
青少年	NA	5.791667	NA	11.0	127.0	26294.0	275.0	1
旅馆床	NA	NA	NA	NA	NA	NA	NA	1
脸盆	5.4	NA	5.35	NA	12.0	6021.0	3.0	1
肉片	5.65	NA	5.65	NA	57.0	12788.0	15.0	1
滑雪人	NA	NA	NA	NA	NA	NA	NA	3
脖子	5.95	6.685714	5.65	6.3478260869565215	3813.0	31069.0	909.0	5
秃鹫	NA	NA	NA	NA	92.0	14914.0	26.0	2
舞蹈	5.3	5.518519	5.55	6.7894736842105265	8388.0	34493.0	451.0	1
剪刀	5.95	6.714286	5.95	6.333333333333333	116.0	25899.0	167.0	2
