word	concreteness	familiarity	imageability	age_of_acquisition	freq_en	log_freq_en	context_div_en	freq_mn
hippo	4.93	5.618	6.8	2.0	1.41	1.8633	39.0	2
castle	4.96	5.931	6.759	2.0	21.55	3.0414	382.0	167
seats	NA	NA	NA	NA	21.76	3.0457	787.0	8
patio set	NA	NA	NA	NA	NA	NA	NA	4
shark	4.93	5.156	6.81	4.0	14.98	2.8837	258.0	16
nerd	3.23	NA	NA	10.0	3.29	2.2279	99.0	2
pork sandwich	NA	NA	NA	NA	NA	NA	NA	1
train cart	NA	NA	NA	NA	NA	NA	NA	9
cement truck	NA	NA	NA	NA	NA	NA	NA	5
guitarist	4.58	NA	NA	NA	0.71	1.5682	24.0	6
pizza	5.0	6.696	6.741	2.0	33.51	3.233	841.0	20155
tractor trailer	NA	NA	NA	NA	NA	NA	NA	4
dairy cow	NA	NA	NA	NA	NA	NA	NA	2
drinks	NA	NA	NA	NA	34.2	3.2418	1228.0	4
aquarium	4.77	NA	NA	2.0	2.76	2.1523	85.0	79
railcar	4.59	NA	NA	NA	0.04	0.4771	2.0	76
tunic	3.75	NA	NA	12.0	0.55	1.4624	12.0	5
sitting bench	NA	NA	NA	NA	NA	NA	NA	6
florist	4.62	5.118	5.971	4.0	2.41	2.0934	91.0	2
archway	4.28	NA	NA	4.0	0.24	1.1139	6.0	6
toga	4.73	4.424	5.97	10.0	0.92	1.6812	23.0	16
name tag	4.97	NA	NA	NA	NA	NA	NA	1
fleece jacket	NA	NA	NA	NA	NA	NA	NA	1
trestle	3.46	NA	NA	10.0	0.16	0.9542	8.0	2
shirts	NA	NA	NA	NA	8.71	2.6484	333.0	6
village	4.89	5.966	6.095	2.0	33.57	3.2338	774.0	2
saucepan	4.67	NA	NA	4.0	0.16	0.9542	6.0	2
bathroom sink	NA	NA	NA	NA	NA	NA	NA	73
pie crust	NA	NA	NA	NA	NA	NA	NA	2
station	4.32	NA	NA	2.0	79.08	3.6057	2099.0	25
preacher	4.7	NA	NA	4.0	6.71	2.5353	145.0	1
egg yolk	NA	NA	NA	NA	NA	NA	NA	5
flower box	NA	NA	NA	NA	NA	NA	NA	2
throw rug	NA	NA	NA	NA	NA	NA	NA	3
princess	4.72	5.281	6.344	2.0	39.59	3.3054	676.0	6
class	3.85	6.03	4.886	2.0	117.35	3.7771	2445.0	21
stew	4.43	NA	NA	4.0	6.43	2.5172	212.0	35
fuselage	4.79	NA	NA	12.0	1.02	1.7243	39.0	2
book bag	4.86	NA	NA	NA	NA	NA	NA	1
paganini	NA	NA	NA	NA	NA	NA	NA	6
drafting table	NA	NA	NA	NA	NA	NA	NA	2
military vehicle	NA	NA	NA	NA	NA	NA	NA	2
shelf	4.96	6.286	6.548	4.0	6.96	2.5514	274.0	499
