word	concreteness	familiarity	imageability	age_of_acquisition	freq_en	log_freq_en	context_div_en	freq_mn
floor mat	NA	NA	NA	NA	NA	NA	NA	26
lifeguard	4.47	NA	NA	2.0	1.67	1.9345	55.0	16
roof	4.79	5.885	6.531	2.0	35.65	3.2598	1148.0	74
office chair	NA	NA	NA	NA	NA	NA	NA	37
wedding	3.92	5.97	6.657	4.0	101.43	3.7138	1654.0	1
vacationer	4.07	NA	NA	NA	0.02	0.301	1.0	1
clock	5.0	6.407	6.448	2.0	58.63	3.4758	1639.0	148
joker	3.93	NA	NA	4.0	4.57	2.3692	117.0	1
padding	4.52	NA	NA	8.0	0.96	1.699	39.0	2
champagne glass	NA	NA	NA	NA	NA	NA	NA	2
bear	4.88	5.61	6.571	2.0	57.41	3.4667	1500.0	285
transportation	3.89	5.677	5.735	4.0	5.55	2.4533	248.0	12
drawbridge	4.89	NA	NA	4.0	0.53	1.4472	22.0	1
drapery	4.32	NA	NA	10.0	0.06	0.6021	3.0	5
graffiti	4.73	NA	NA	NA	2.02	2.017	57.0	3
yard	4.82	4.177	5.343	2.0	25.06	3.1069	776.0	1
airbus	NA	NA	NA	NA	NA	NA	NA	9
lorry	NA	6.03	6.829	13.0	NA	NA	NA	35
panel van	NA	NA	NA	NA	NA	NA	NA	1
jelly donut	NA	NA	NA	NA	NA	NA	NA	1
driver	4.71	NA	NA	2.0	47.37	3.3833	1398.0	2
poncho	4.97	NA	NA	8.0	0.86	1.6532	28.0	31
wife	4.13	5.355	5.4	2.0	348.92	4.2503	4811.0	4
floor	4.8	NA	NA	2.0	100.63	3.7104	2732.0	3228
cockatiel	4.88	NA	NA	NA	0.04	0.4771	2.0	1
picture	4.52	6.606	5.969	2.0	138.45	3.8489	3178.0	19
hot air balloon	NA	NA	NA	NA	NA	NA	NA	5
faucet	4.48	NA	NA	4.0	1.43	1.8692	57.0	24
keyboardist	4.52	NA	NA	NA	0.06	0.6021	3.0	1
kite	5.0	5.469	6.6	4.0	2.29	2.0719	76.0	220
cloth	4.9	6.188	6.5	2.0	6.1	2.4942	236.0	18
school uniform	NA	NA	NA	NA	NA	NA	NA	1
toy dog	NA	NA	NA	NA	NA	NA	NA	4
mcdonald	NA	NA	NA	NA	NA	NA	NA	1
yolk	4.78	4.9	6.438	4.0	0.41	1.3424	19.0	7
paddle boat	NA	NA	NA	NA	NA	NA	NA	7
skier	4.32	NA	NA	NA	0.47	1.3979	17.0	2643
rice	4.86	6.182	6.486	2.0	15.08	2.8865	447.0	560
hill	4.93	6.259	6.37	2.0	37.55	3.2824	920.0	5
hare	4.88	NA	NA	4.0	NA	NA	NA	3
mammal	4.59	5.382	6.2	8.0	1.22	1.7993	52.0	8
computer table	NA	NA	NA	NA	NA	NA	NA	15
pagoda	4.67	NA	NA	12.0	NA	NA	NA	7
mule	5.0	3.629	5.939	2.0	7.02	2.5551	213.0	9
chapel	4.6	4.839	6.324	4.0	7.96	2.6096	174.0	1
frosting	4.86	NA	NA	2.0	1.41	1.8633	60.0	10
show jumper	NA	NA	NA	NA	NA	NA	NA	1
candies	NA	NA	NA	NA	1.12	1.7634	43.0	1
garden hose	4.79	NA	NA	NA	NA	NA	NA	1
rig	4.0	NA	NA	8.0	8.63	2.6444	268.0	1
water bird	NA	NA	NA	NA	NA	NA	NA	4
trike	NA	NA	NA	NA	0.06	0.6021	3.0	8
serving table	NA	NA	NA	NA	NA	NA	NA	3
hitchhiker	4.83	NA	NA	NA	0.98	1.7076	33.0	4
rack	4.48	NA	NA	2.0	7.78	2.5999	320.0	40
truckload	4.2	NA	NA	NA	1.0	1.716	42.0	3
zookeeper	4.71	NA	NA	NA	0.02	0.301	1.0	6
guinea pig	4.93	NA	NA	8.0	NA	NA	NA	35
donuts	NA	NA	NA	NA	2.9	2.1732	93.0	55
shrimp	4.8	5.118	6.629	4.0	8.71	2.6484	246.0	5
bus	4.9	6.667	6.765	2.0	74.18	3.578	1546.0	643
cement mixer	5.0	NA	NA	NA	NA	NA	NA	1
float	4.07	5.067	4.97	2.0	7.47	2.5821	308.0	2
footbridge	4.81	NA	NA	10.0	0.12	0.8451	5.0	9
tractor	5.0	5.514	6.706	2.0	3.73	2.281	106.0	31
latex glove	NA	NA	NA	NA	NA	NA	NA	1
bungalow	4.63	5.25	6.424	6.0	1.65	1.9294	48.0	1
little kid	NA	NA	NA	NA	NA	NA	NA	2
armchair	5.0	NA	NA	2.0	0.41	1.3424	19.0	146
serena	NA	NA	NA	NA	NA	NA	NA	1
tanker truck	NA	NA	NA	NA	NA	NA	NA	3
garbage truck	4.92	NA	NA	NA	NA	NA	NA	29
ledge	4.72	5.452	5.294	4.0	3.51	2.2553	109.0	14
silverware	4.66	NA	NA	4.0	2.14	2.0414	86.0	16
overhang	4.31	NA	NA	8.0	0.18	1.0	8.0	5
plain	2.26	6.0	4.114	4.0	21.82	3.0469	832.0	4
ticket office	4.9	NA	NA	NA	NA	NA	NA	1
trawler	NA	NA	NA	12.0	0.45	1.3802	11.0	8
buyer	4.36	NA	NA	2.0	5.18	2.4232	188.0	1
semi	2.74	NA	NA	8.0	2.33	2.0792	52.0	73
maid	4.64	5.03	6.114	4.0	22.82	3.0663	614.0	3
teddy bear jacket	NA	NA	NA	NA	NA	NA	NA	2
bowls	4.73	NA	NA	12.0	2.18	2.0492	92.0	20
rail	4.9	5.813	5.971	2.0	4.57	2.3692	176.0	22
baby bird	NA	NA	NA	NA	NA	NA	NA	2
snout	4.89	NA	NA	4.0	0.84	1.6435	37.0	2
teapot	4.96	NA	NA	2.0	0.86	1.6532	35.0	46
jaguar	4.9	5.0	6.515	4.0	NA	NA	NA	1
walker	4.42	NA	NA	2.0	NA	NA	NA	15
vat	4.59	NA	NA	8.0	1.49	1.8865	57.0	2
ties	NA	NA	NA	6.0	9.84	2.7016	359.0	6
range	3.22	5.194	3.286	2.0	22.76	3.0652	736.0	2
flower	5.0	6.6	6.788	2.0	22.76	3.0652	629.0	1164
teenager	4.34	NA	NA	NA	6.88	2.5465	288.0	246
food processor	4.89	NA	NA	NA	NA	NA	NA	7
club chair	NA	NA	NA	NA	NA	NA	NA	1
tepee	4.85	NA	NA	4.0	0.53	1.4472	15.0	4
pet	4.71	6.5	6.0	2.0	20.18	3.0128	623.0	19
striker	3.73	NA	NA	10.0	NA	NA	NA	1
car dashboard	NA	NA	NA	NA	NA	NA	NA	1
skater	4.65	NA	NA	2.0	1.9	1.9912	42.0	3233
child	4.78	6.519	6.621	2.0	157.65	3.9053	3067.0	8401
coffee cake	NA	NA	NA	NA	NA	NA	NA	1
snowboard	4.86	NA	NA	NA	0.78	1.6128	19.0	8
pail	4.93	2.643	5.533	4.0	0.94	1.6902	40.0	5
car bumper	NA	NA	NA	NA	NA	NA	NA	2
suit coat	NA	NA	NA	NA	NA	NA	NA	10
farmhouse	4.74	NA	NA	2.0	1.31	1.8325	46.0	1
toy horse	NA	NA	NA	NA	NA	NA	NA	1
sports coat	NA	NA	NA	NA	NA	NA	NA	13
clothes	4.76	6.515	6.588	2.0	101.14	3.7126	2790.0	90
telephone booth	4.79	NA	NA	NA	NA	NA	NA	7
fur coat	4.83	NA	NA	NA	NA	NA	NA	4
potatoes	NA	NA	NA	NA	11.1	2.7536	405.0	2
eggs	NA	NA	NA	NA	38.65	3.2949	1115.0	5
jet ski	NA	NA	NA	NA	NA	NA	NA	1
easy chair	4.93	NA	NA	NA	NA	NA	NA	2
construction worker	NA	NA	NA	NA	NA	NA	NA	3
zip up	NA	NA	NA	NA	NA	NA	NA	1
slaw	4.64	NA	NA	4.0	0.33	1.2553	14.0	3
disc drive	NA	NA	NA	NA	NA	NA	NA	1
undershirt	5.0	NA	NA	2.0	0.29	1.2041	14.0	9
onion	4.86	6.708	6.636	2.0	4.24	2.3365	152.0	5
gingerbread house	NA	NA	NA	NA	NA	NA	NA	3
ski parka	NA	NA	NA	NA	NA	NA	NA	1
vehicle	4.64	5.615	6.233	4.0	22.61	3.0622	668.0	2443
melon	4.78	5.667	6.69	2.0	4.27	2.3404	99.0	30
bike	5.0	6.097	6.794	2.0	25.88	3.1209	574.0	2727
windbreaker	4.12	NA	NA	4.0	0.31	1.2304	12.0	2
cupcakes	NA	NA	NA	NA	1.49	1.8865	41.0	31
jogger	4.68	NA	NA	NA	0.47	1.3979	12.0	3
patio table	NA	NA	NA	NA	NA	NA	NA	1
curtain	4.82	5.96	6.567	NA	10.29	2.721	331.0	4311
blouse	4.96	5.281	6.121	2.0	5.33	2.4362	187.0	223
tow truck	NA	NA	NA	NA	NA	NA	NA	24
pan	4.86	5.849	6.382	2.0	12.29	2.798	366.0	514
porcelain	4.63	NA	NA	8.0	1.57	1.9085	68.0	1
slice of bread	NA	NA	NA	NA	NA	NA	NA	2
boyfriend	4.59	NA	NA	NA	72.24	3.5664	1829.0	5
cage	5.0	NA	NA	2.0	20.27	3.0149	564.0	5
oil	4.93	6.152	6.294	2.0	41.08	3.3214	1059.0	9
bible	4.61	NA	NA	NA	NA	NA	NA	6
brother	4.43	6.677	6.559	2.0	283.94	4.1608	3795.0	4
bookshelves	NA	NA	NA	NA	0.31	1.2304	14.0	10
cheetah	4.7	5.364	6.688	8.0	NA	NA	NA	27
trunk	4.71	4.735	5.647	2.0	19.8	3.0048	561.0	23
purse	4.9	6.074	6.633	2.0	19.76	3.0039	672.0	12
parking meter	4.89	NA	NA	NA	NA	NA	NA	2
guard	4.04	5.267	5.563	2.0	58.2	3.4726	1569.0	1
fruitcake	4.62	NA	NA	NA	2.06	2.0253	85.0	2
objects	NA	NA	NA	NA	8.71	2.6484	288.0	1
skateboarders	NA	NA	NA	NA	0.08	0.699	4.0	1
skating	4.75	NA	NA	NA	4.92	2.4014	130.0	24
baseball dugout	NA	NA	NA	NA	NA	NA	NA	2
old woman	NA	NA	NA	NA	NA	NA	NA	5
furniture	4.89	5.968	6.457	2.0	15.08	2.8865	538.0	681
pizza paddle	NA	NA	NA	NA	NA	NA	NA	2
oxen	4.29	NA	NA	4.0	0.43	1.3617	19.0	61
feline	4.38	4.5	5.485	12.0	0.9	1.6721	34.0	29
raven	4.86	4.355	6.643	8.0	NA	NA	NA	8
court	4.31	5.387	5.594	4.0	100.73	3.7108	1839.0	25
footballer	4.52	NA	NA	NA	0.31	1.2304	11.0	6
ornament	4.04	4.364	6.324	4.0	1.14	1.7709	51.0	5
china hutch	NA	NA	NA	NA	NA	NA	NA	1
balloon	4.92	5.794	6.581	2.0	8.67	2.6464	261.0	56
filling	3.84	5.143	4.294	4.0	9.69	2.6946	439.0	3
puppies	NA	NA	NA	NA	5.45	2.4456	126.0	1
garage door	NA	NA	NA	NA	NA	NA	NA	12
trailer truck	NA	NA	NA	NA	NA	NA	NA	1
toilet bowl	4.83	NA	NA	NA	NA	NA	NA	92
half pipe	NA	NA	NA	NA	NA	NA	NA	7
swim suit	NA	NA	NA	NA	NA	NA	NA	1
desktop	4.46	NA	NA	NA	0.1	0.7782	5.0	187
sandwich bun	NA	NA	NA	NA	NA	NA	NA	5
power lines	NA	NA	NA	NA	NA	NA	NA	2
apartment complex	NA	NA	NA	NA	NA	NA	NA	2
elephant	5.0	5.9	6.857	2.0	11.37	2.7642	314.0	139
place mat	5.0	NA	NA	NA	NA	NA	NA	1
pony	4.9	5.548	6.788	2.0	8.1	2.617	261.0	117
pasture	4.78	NA	NA	2.0	1.53	1.8976	66.0	7
cooker	4.22	6.03	6.514	10.0	0.67	1.5441	20.0	2
sinks	NA	NA	NA	NA	1.71	1.9445	76.0	25
newscaster	4.5	NA	NA	NA	NA	NA	NA	2
bus station	4.86	NA	NA	NA	NA	NA	NA	7
beret	4.8	NA	NA	10.0	0.94	1.6902	40.0	4
brick wall	NA	NA	NA	NA	NA	NA	NA	2
burger	4.93	6.667	6.656	2.0	10.24	2.7185	305.0	599
nightshirts	NA	NA	NA	NA	0.02	0.301	1.0	1
count	3.0	5.971	3.706	2.0	89.96	3.6617	2655.0	1
crust	4.59	5.794	5.824	2.0	3.25	2.2227	126.0	75
diver	4.69	5.3	6.0	4.0	2.43	2.0969	53.0	9
sticks	4.83	NA	NA	13.0	13.61	2.842	564.0	1
twin bed	4.85	NA	NA	NA	NA	NA	NA	4
reindeer	4.7	5.212	6.743	2.0	3.37	2.238	86.0	4
snowboarder	4.61	NA	NA	NA	0.43	1.3617	8.0	756
stroller	4.96	NA	NA	2.0	0.88	1.6628	27.0	30
wood	4.85	6.303	6.606	2.0	27.0	3.1392	754.0	177
chew toy	NA	NA	NA	NA	NA	NA	NA	1
device	3.97	5.912	5.0	6.0	18.16	2.9671	563.0	4
rowboat	4.81	NA	NA	2.0	1.06	1.7404	36.0	46
painting	4.59	NA	NA	2.0	29.2	3.1732	639.0	8
goth	NA	NA	NA	NA	NA	NA	NA	1
baking pan	NA	NA	NA	NA	NA	NA	NA	4
bumper	4.96	NA	NA	2.0	3.55	2.2601	131.0	2
china	4.79	NA	NA	2.0	NA	NA	NA	14
corral	4.54	NA	NA	6.0	2.33	2.0792	75.0	4
airfield	4.7	NA	NA	2.0	2.31	2.0755	69.0	4
crape	NA	NA	NA	14.0	NA	NA	NA	2
lounger	4.04	NA	NA	NA	0.06	0.6021	3.0	4
homes	NA	NA	NA	NA	14.16	2.8591	539.0	1
house cat	NA	NA	NA	NA	NA	NA	NA	1
shelter	4.64	5.485	5.514	4.0	11.67	2.7752	375.0	63
jar	5.0	NA	NA	2.0	8.31	2.6284	297.0	243
avocado	4.89	NA	NA	8.0	1.22	1.7993	43.0	3
leptin	NA	NA	NA	NA	NA	NA	NA	1
bridge	4.97	6.161	6.688	2.0	45.71	3.3677	1046.0	7828
turtleneck	4.7	NA	NA	4.0	0.82	1.6335	33.0	10
keyboarder	NA	NA	NA	NA	NA	NA	NA	5
cat sweater	NA	NA	NA	NA	NA	NA	NA	3
cabinetry	4.48	NA	NA	NA	NA	NA	NA	6
shop	4.31	NA	NA	2.0	53.55	3.4365	1613.0	42
rain jacket	NA	NA	NA	NA	NA	NA	NA	8
windshield	4.86	NA	NA	6.0	3.27	2.2253	133.0	19
sports fan	NA	NA	NA	NA	NA	NA	NA	1
sport coat	4.96	NA	NA	NA	NA	NA	NA	6
queen	4.45	5.633	6.065	2.0	54.69	3.4456	1188.0	14
mattress	5.0	6.029	6.629	2.0	6.61	2.5289	230.0	164
dishes	NA	NA	NA	2.0	11.86	2.7825	443.0	3
tops	3.83	NA	NA	4.0	7.35	2.5752	327.0	6
blood sausage	NA	NA	NA	NA	NA	NA	NA	1
game board	NA	NA	NA	NA	NA	NA	NA	1
sewing table	NA	NA	NA	NA	NA	NA	NA	3
protestor	4.3	NA	NA	NA	0.06	0.6021	3.0	2
cardigan	4.96	NA	NA	14.0	0.57	1.4771	24.0	8
mountain man	NA	NA	NA	NA	NA	NA	NA	1
light rail	NA	NA	NA	NA	NA	NA	NA	1
cellphone	5.0	NA	NA	NA	3.08	2.1987	100.0	38
cartoon	4.33	NA	NA	2.0	3.76	2.2856	133.0	2
cup of tea	NA	NA	NA	NA	NA	NA	NA	1
tent	4.96	5.697	6.588	2.0	17.49	2.9509	445.0	1117
pitcher	4.93	NA	NA	2.0	3.24	2.2201	107.0	500
bunk bed	NA	NA	NA	NA	NA	NA	NA	26
supervisor	4.26	NA	NA	4.0	5.96	2.4843	240.0	1
adapter	3.82	NA	NA	10.0	0.22	1.0792	7.0	2
bowl of carrots	NA	NA	NA	NA	NA	NA	NA	2
curtains	NA	NA	NA	4.0	6.29	2.5079	236.0	90
brits	NA	NA	NA	NA	NA	NA	NA	1
voter	3.93	4.656	4.743	4.0	0.8	1.6232	30.0	1
shampoo bottle	NA	NA	NA	NA	NA	NA	NA	1
steam locomotive	NA	NA	NA	NA	NA	NA	NA	1
bread roll	NA	NA	NA	NA	NA	NA	NA	1
quiche	4.53	NA	NA	13.0	0.84	1.6435	25.0	10
exam table	NA	NA	NA	NA	NA	NA	NA	2
goat	5.0	5.8	6.571	2.0	10.53	2.7308	338.0	713
log	4.96	5.75	6.188	2.0	11.96	2.786	397.0	8
bot	NA	NA	NA	NA	0.98	1.7076	11.0	2
side mirror	NA	NA	NA	NA	NA	NA	NA	8
fried rice	NA	NA	NA	NA	NA	NA	NA	1
playground	4.77	NA	NA	2.0	5.1	2.4166	193.0	1
folding table	NA	NA	NA	NA	NA	NA	NA	1
submarine sandwich	NA	NA	NA	NA	NA	NA	NA	5
top	3.93	6.515	4.943	2.0	133.43	3.8329	3606.0	35
figurine	4.86	NA	NA	10.0	0.27	1.1761	9.0	4
frame	4.3	5.219	5.677	2.0	14.1	2.8573	527.0	9
clothing	4.43	6.576	6.529	2.0	10.84	2.7435	429.0	740
batter	4.41	NA	NA	2.0	3.98	2.3096	98.0	1020
goats	NA	NA	NA	NA	2.65	2.1335	85.0	15
console table	NA	NA	NA	NA	NA	NA	NA	2
car interior	NA	NA	NA	NA	NA	NA	NA	2
divan	NA	NA	NA	10.0	0.12	0.8451	6.0	1
road	4.75	6.778	6.5	2.0	111.94	3.7566	2766.0	126
barn	4.79	5.355	6.618	2.0	13.59	2.8414	395.0	44
fork	4.9	6.415	6.667	2.0	8.82	2.6542	316.0	1437
victim	3.59	5.714	4.857	6.0	47.73	3.3865	1176.0	1
shade	3.38	5.097	4.879	2.0	5.96	2.4843	252.0	1
work clothes	4.62	NA	NA	NA	NA	NA	NA	1
punchbowl	4.85	NA	NA	NA	0.18	1.0	6.0	1
dalmatian	4.81	NA	NA	NA	NA	NA	NA	7
gran	NA	NA	NA	NA	NA	NA	NA	1
cambridgeshire	NA	NA	NA	NA	NA	NA	NA	1
sconce	NA	NA	NA	14.0	0.16	0.9542	5.0	1
sheet	4.93	NA	NA	2.0	11.61	2.7731	464.0	12
porch	4.92	NA	NA	2.0	9.63	2.692	336.0	16
old man	NA	NA	NA	12.0	NA	NA	NA	22
shrine	4.47	NA	NA	8.0	2.96	2.1818	93.0	2
bridgeboard	NA	NA	NA	NA	NA	NA	NA	1
pot	4.81	5.636	6.182	2.0	22.53	3.0607	763.0	620
reclining chair	4.77	NA	NA	NA	NA	NA	NA	1
wooden leg	4.93	NA	NA	NA	NA	NA	NA	22
sofas	NA	NA	NA	NA	0.31	1.2304	15.0	1
drapes	NA	NA	NA	4.0	2.98	2.1847	105.0	46
sport utility vehicle	NA	NA	NA	NA	NA	NA	NA	3
ball	5.0	6.5	6.643	2.0	104.96	3.7287	2070.0	14
lade	NA	NA	NA	NA	NA	NA	NA	2
skiff	NA	NA	NA	12.0	0.73	1.5798	16.0	1
egret	NA	NA	NA	13.0	0.04	0.4771	2.0	7
cabana	4.79	NA	NA	12.0	0.9	1.6721	29.0	13
system	2.94	5.091	3.6	6.0	91.51	3.6691	2240.0	1
trough	4.17	NA	NA	6.0	1.41	1.8633	58.0	36
land	4.57	6.038	5.918	2.0	88.12	3.6527	2074.0	6
troat	NA	NA	NA	NA	NA	NA	NA	1
grass	4.93	6.276	6.774	2.0	16.78	2.933	550.0	73
blind	4.03	5.424	5.235	2.0	45.82	3.3688	1353.0	7
trophy	4.89	5.147	6.559	2.0	7.55	2.5866	225.0	2
tea kettle	NA	NA	NA	NA	NA	NA	NA	6
drink	4.76	NA	NA	2.0	247.39	4.101	4353.0	179
mobile home	5.0	NA	NA	NA	NA	NA	NA	1
goal	3.06	5.788	5.0	4.0	16.75	2.932	540.0	7
alcohol	4.76	6.242	6.294	4.0	16.57	2.9274	588.0	7
toy train	NA	NA	NA	NA	NA	NA	NA	3
grape	5.0	6.36	6.714	2.0	4.0	2.3118	137.0	1
pedestrian bridge	NA	NA	NA	NA	NA	NA	NA	2
youth	3.28	5.929	4.355	2.0	16.82	2.934	600.0	6
lasagna	4.89	NA	NA	8.0	3.59	2.2648	94.0	7
bookstack	NA	NA	NA	NA	NA	NA	NA	1
juices	NA	NA	NA	NA	1.1	1.7559	52.0	1
boardwalk	4.78	NA	NA	10.0	1.84	1.9777	59.0	26
triunity	NA	NA	NA	NA	NA	NA	NA	1
cheese	4.7	6.696	6.586	2.0	39.04	3.2993	1130.0	421
pillow	5.0	6.563	6.629	2.0	11.39	2.7649	453.0	56
valance	3.85	NA	NA	12.0	NA	NA	NA	4
wiper	4.56	NA	NA	2.0	0.57	1.4771	22.0	3
chicken wrap	NA	NA	NA	NA	NA	NA	NA	2
tin	4.87	NA	NA	2.0	8.65	2.6454	269.0	3
trainer	4.31	5.567	5.849	2.0	5.57	2.4548	146.0	4
roller	4.66	NA	NA	4.0	5.75	2.4683	193.0	1
butterfly	4.93	6.414	6.765	2.0	5.51	2.4502	186.0	153
peacock	5.0	5.032	6.647	2.0	NA	NA	NA	72
finch	4.3	NA	NA	8.0	NA	NA	NA	3
hawk	4.93	5.7	6.303	2.0	NA	NA	NA	65
conference table	NA	NA	NA	NA	NA	NA	NA	7
sidewalk	4.96	NA	NA	2.0	5.47	2.4472	232.0	63
eggs benedict	NA	NA	NA	NA	NA	NA	NA	6
life vest	4.79	NA	NA	NA	NA	NA	NA	4
dog	4.85	6.84	6.889	2.0	192.84	3.9928	3049.0	21747
cattle	4.64	5.233	6.212	2.0	13.22	2.8293	264.0	102
apple	5.0	6.719	6.909	2.0	23.67	3.0821	689.0	1002
car	4.89	6.833	6.882	2.0	483.06	4.3916	5154.0	13754
tempura	4.12	NA	NA	12.0	0.24	1.1139	8.0	1
pathway	4.28	NA	NA	2.0	1.14	1.7709	34.0	1
ski slope	NA	NA	NA	NA	NA	NA	NA	1
jag	3.26	NA	NA	8.0	NA	NA	NA	4
gamer	4.0	NA	NA	NA	0.12	0.8451	4.0	123
cart	4.89	NA	NA	2.0	9.04	2.6646	325.0	38
enclosure	4.04	NA	NA	6.0	0.39	1.3222	17.0	2
phone	4.86	6.88	6.71	2.0	269.73	4.1385	4502.0	91
quilt	5.0	NA	NA	2.0	0.76	1.6021	34.0	20
heart	4.52	6.583	6.393	2.0	244.18	4.0953	4582.0	3
rusher	NA	NA	NA	NA	0.02	0.301	1.0	3
guardrail	5.0	NA	NA	NA	0.27	1.1761	12.0	5
oriental rug	NA	NA	NA	NA	NA	NA	NA	1
grating	3.07	NA	NA	10.0	0.31	1.2304	15.0	2
toilet lid	NA	NA	NA	NA	NA	NA	NA	4
graduation gown	NA	NA	NA	NA	NA	NA	NA	2
filing cabinet	4.86	NA	NA	NA	NA	NA	NA	1
bottle	4.91	6.357	6.536	2.0	50.75	3.4131	1561.0	1312
pizza plate	NA	NA	NA	NA	NA	NA	NA	2
dish	4.9	6.042	6.065	2.0	11.45	2.7672	443.0	209
railroad tracks	NA	NA	NA	NA	NA	NA	NA	3
sofa	4.9	6.375	6.647	4.0	5.86	2.4771	226.0	4666
girls	NA	6.731	6.194	NA	208.35	4.0264	3635.0	2
wine	4.79	6.688	6.618	4.0	60.35	3.4884	1518.0	191
broccoli and cheese	NA	NA	NA	NA	NA	NA	NA	2
panda	4.75	5.382	6.743	2.0	2.12	2.0374	37.0	1
jockey	4.59	4.344	6.0	4.0	4.84	2.3945	119.0	4
shelve	4.41	NA	NA	12.0	0.2	1.0414	8.0	6
spotter	3.88	NA	NA	12.0	0.94	1.6902	29.0	1
dress clothes	NA	NA	NA	NA	NA	NA	NA	3
herd	4.11	4.645	5.344	2.0	7.06	2.5575	195.0	37
police motor bike	NA	NA	NA	NA	NA	NA	NA	2
hooker	4.5	4.688	5.697	12.0	11.73	2.7774	327.0	1
temple	4.53	5.281	6.088	4.0	17.55	2.9523	409.0	20
jewelry	4.82	NA	NA	2.0	11.06	2.752	367.0	2
skewer	4.46	NA	NA	12.0	0.41	1.3424	13.0	2
cream	4.83	5.606	6.2	2.0	48.71	3.3953	1345.0	7
van	4.72	5.743	6.543	6.0	NA	NA	NA	2175
blackberry	4.97	NA	NA	2.0	0.75	1.5911	27.0	9
housekeeper	4.36	NA	NA	2.0	5.84	2.4757	170.0	1
cookie sheet	4.97	NA	NA	NA	NA	NA	NA	6
plushy	3.3	NA	NA	NA	0.04	0.4771	2.0	2
horsetrading	3.59	NA	NA	NA	NA	NA	NA	1
dinghy	4.2	NA	NA	13.0	0.71	1.5682	25.0	2
wok	4.57	NA	NA	NA	0.75	1.5911	15.0	22
skate park	NA	NA	NA	NA	NA	NA	NA	1
bedding	4.61	NA	NA	6.0	0.75	1.5911	36.0	30
shoulder	4.93	NA	NA	2.0	26.2	3.1261	976.0	2
fingers	NA	6.455	6.882	NA	33.25	3.2297	1242.0	2
backstop	4.17	NA	NA	10.0	0.22	1.0792	6.0	2
drawer	4.67	NA	NA	2.0	13.0	2.8222	462.0	49
poodle	4.89	5.441	6.6	2.0	2.84	2.1644	97.0	22
racer	3.83	NA	NA	2.0	2.63	2.1303	47.0	1
bean bag	NA	NA	NA	NA	NA	NA	NA	1
blue jeans	4.97	NA	NA	NA	NA	NA	NA	1
kayak	4.7	NA	NA	6.0	0.51	1.4314	11.0	64
glass bottle	NA	NA	NA	NA	NA	NA	NA	13
fort	4.72	4.219	6.206	4.0	NA	NA	NA	3
focaccia	NA	NA	NA	NA	NA	NA	NA	10
windshield wipers	NA	NA	NA	NA	NA	NA	NA	2
giraffe statue	NA	NA	NA	NA	NA	NA	NA	6
donkey	5.0	5.281	6.667	2.0	5.35	2.4378	162.0	53
steps	4.39	NA	NA	NA	24.69	3.1004	922.0	4
bonnet	4.93	3.033	6.281	2.0	1.86	1.9823	53.0	5
hall	4.67	6.037	5.893	2.0	51.94	3.4232	1573.0	2
train cars	NA	NA	NA	NA	NA	NA	NA	11
counter	4.17	5.03	5.571	4.0	13.9	2.8513	540.0	7128
footrest	4.67	NA	NA	NA	0.1	0.7782	3.0	1
controller	4.33	NA	NA	8.0	1.29	1.8261	47.0	19
french toast	4.86	NA	NA	NA	NA	NA	NA	19
stocking cap	NA	NA	NA	NA	NA	NA	NA	1
resting place	NA	NA	NA	NA	NA	NA	NA	1
jet fighter	NA	NA	NA	NA	NA	NA	NA	2
stove top	NA	NA	NA	NA	NA	NA	NA	11
bath rug	NA	NA	NA	NA	NA	NA	NA	1
double bed	4.67	NA	NA	NA	NA	NA	NA	1
desk chair	NA	NA	NA	NA	NA	NA	NA	24
helmet	4.92	NA	NA	2.0	9.47	2.6848	303.0	169
body	4.79	6.793	6.333	2.0	195.53	3.9988	3961.0	8
mono plane	NA	NA	NA	NA	NA	NA	NA	5
holder	3.74	NA	NA	4.0	1.61	1.9191	73.0	5
piece of cake	NA	NA	NA	NA	NA	NA	NA	7
pizza tray	NA	NA	NA	NA	NA	NA	NA	3
courtyard	4.57	4.667	6.206	8.0	2.14	2.0414	99.0	1
birds	NA	NA	NA	NA	25.88	3.1209	737.0	12
barbecue sauce	NA	NA	NA	2.0	NA	NA	NA	1
olive	4.9	5.531	6.697	4.0	NA	NA	NA	1
patio chair	NA	NA	NA	NA	NA	NA	NA	2
poultry	4.72	4.742	5.824	6.0	1.0	1.716	42.0	2
cooking pot	NA	NA	NA	NA	NA	NA	NA	7
sea animal	NA	NA	NA	NA	NA	NA	NA	1
rooster	4.75	4.906	6.514	2.0	3.86	2.2967	102.0	27
patrolman	4.67	NA	NA	4.0	1.22	1.7993	39.0	1
feeder	4.36	NA	NA	10.0	0.69	1.5563	31.0	3
coffee table	4.89	NA	NA	NA	NA	NA	NA	39
kid	4.56	NA	NA	2.0	339.2	4.238	4625.0	2260
fans	NA	5.606	5.618	NA	13.94	2.8525	450.0	1
collie	4.77	NA	NA	2.0	NA	NA	NA	1
cooktop	NA	NA	NA	NA	NA	NA	NA	1
vase	5.0	5.457	6.294	2.0	3.84	2.2945	121.0	3874
iced coffee	NA	NA	NA	NA	NA	NA	NA	1
park bench	NA	NA	NA	NA	NA	NA	NA	15
hen	4.9	5.182	6.486	2.0	3.2	2.2148	107.0	9
