word,concreteness,imageability,familiarity,age_of_acquisition,freq_zh,log_freq_zh,freq_mn
野鸟,NA,NA,NA,NA,NA,NA,1
没家的人,NA,NA,NA,NA,NA,NA,1
炒鸡蛋,NA,NA,NA,NA,NA,NA,2
码头,1.580645,5.300 ,5.318 ,2.909 ,2116,28513,18
老车,NA,NA,NA,NA,3,0,2
盖子,NA,4.231 ,5.318 ,1.900 ,349,20682,2
汽车桌椅,NA,NA,NA,NA,NA,NA,1
鸭子,NA,5.333 ,6.318 ,1.929 ,1324,26474,5
笔记本电脑和办公桌,NA,NA,NA,NA,NA,NA,1
橄榄球运动员,NA,NA,NA,NA,NA,NA,3
滑浪板,NA,NA,NA,NA,NA,NA,1
正餐,1.807692,NA,NA,NA,134,16532,1
细胞,1.972222,3.417 ,6.045 ,3.071 ,1419,26776,1
骑车,NA,NA,NA,NA,638,23304,1
沙拉,NA,NA,NA,NA,1413,26758,26
钟楼,1.448276,NA,NA,NA,149,1699,15
牛肉,1.137931,NA,NA,NA,1604,27308,3
座子,NA,NA,NA,NA,6,301,16
西装,1.416667,NA,NA,NA,1717,27604,156
刀擦刀擦,NA,NA,NA,NA,NA,NA,1
舞蹈,1.923077,NA,NA,NA,8388,34493,1
飞机清洁工,NA,NA,NA,NA,NA,NA,1
笔记本,NA,NA,NA,NA,1177,25966,1
瓶子,NA,5.300 ,5.545 ,1.467 ,1496,27007,2
棒球选手,NA,NA,NA,NA,NA,NA,28
销售员,NA,NA,NA,NA,331,20453,1
袜子,1.2,6.100 ,6.273 ,3.000 ,1565,27202,1
桌子,1.296296,5.923 ,6.524 ,1.833 ,4892,32151,594
拌饭,NA,NA,NA,NA,NA,NA,1
休旅车,NA,NA,NA,NA,NA,NA,2
折叠桌,NA,NA,NA,NA,NA,NA,1
冲浪板,NA,NA,NA,NA,NA,NA,5
杯子蛋糕,NA,NA,NA,NA,NA,NA,7
度假,2,NA,NA,NA,2122,28525,1
柠檬,1.130435,NA,NA,NA,966,25105,9
商人,1.766667,5.083 ,5.455 ,1.857 ,118,25977,1
仙女,3.458333,5.077 ,5.818 ,1.500 ,662,23464,1
特务西装,NA,NA,NA,NA,NA,NA,1
手指,1.4,4.500 ,6.955 ,1.500 ,2993,30017,1
鹮,NA,NA,NA,NA,NA,NA,1
大众汽车,NA,NA,NA,NA,NA,NA,1
蔬菜水果,NA,NA,NA,NA,NA,NA,1
鼠标垫,NA,NA,NA,NA,NA,NA,5
鹦鹉玩具,NA,NA,NA,NA,NA,NA,2
泳镜,1.4,NA,NA,NA,3,0,1
电动车,NA,NA,NA,NA,63,13222,1
庙,NA,NA,NA,NA,289,19868,2
修理厂,NA,NA,NA,NA,116,15911,1
店牌,NA,NA,NA,NA,NA,NA,1
狗的脚,NA,NA,NA,NA,NA,NA,1
布偶,NA,NA,NA,NA,NA,NA,2
河景,NA,NA,NA,NA,NA,NA,1
男子网球运动员,NA,NA,NA,NA,NA,NA,2
花朵,NA,4.308 ,5.955 ,1.067 ,361,20828,36
大楼,1.347826,NA,NA,NA,3655,30885,23
报考志愿,NA,NA,NA,NA,NA,NA,1
倒影,2.321429,NA,NA,NA,146,16902,2
网,NA,NA,NA,NA,3,0,1
毕业礼服,NA,NA,NA,NA,NA,NA,1
高架桥,NA,NA,NA,NA,24,9031,3
甜甜圈饼,NA,NA,NA,NA,NA,NA,1
年轻人,NA,NA,NA,NA,4519,31807,3
飞碟,2.115385,NA,NA,NA,262,19445,1
跑车,NA,NA,NA,NA,468,21959,4
向日葵,NA,NA,NA,NA,316,20253,19
刨冰,1.833333,NA,NA,NA,42,11461,1
手柄,NA,NA,NA,NA,146,16902,2
炖菜,NA,NA,NA,NA,NA,NA,1
小牛,NA,NA,NA,NA,113,15798,1
公交车,NA,NA,NA,NA,NA,NA,25
面饼,NA,NA,NA,NA,NA,NA,2
摩特车,NA,NA,NA,NA,NA,NA,1
帐篷里的猫,NA,NA,NA,NA,NA,NA,1
牛奶,1.307692,2.538 ,6.773 ,1.867 ,2647,29484,1
烧烤机,NA,NA,NA,NA,NA,NA,1
女,NA,NA,NA,NA,2487,39213,22
夫妻,1.5,4.214 ,5.773 ,2.786 ,1884,28007,6
菜刀,1.230769,NA,NA,NA,57,12788,3
冰激淋,NA,NA,NA,NA,NA,NA,1
喷射机,NA,NA,NA,NA,NA,NA,1
烧毁的巴士,NA,NA,NA,NA,NA,NA,1
酒店,NA,NA,NA,NA,6144,33141,8
冲浪手,NA,NA,NA,NA,NA,NA,6
男青年,NA,NA,NA,NA,NA,NA,3
厢式货车,NA,NA,NA,NA,NA,NA,1
卫衣,NA,NA,NA,NA,NA,NA,13
父亲,1.333333,4.111 ,7.000 ,1.182 ,36961,40934,4
滑板坡,NA,NA,NA,NA,NA,NA,1
胳膊,1.08,4.000 ,6.455 ,1.143 ,2522,29274,3
陶制品,NA,NA,NA,NA,NA,NA,1
车头盖,NA,NA,NA,NA,NA,NA,5
婆婆,1.419355,3.308 ,5.727 ,2.933 ,513,22355,2
猫头鹰,NA,NA,NA,NA,426,21553,1
担纲,NA,NA,NA,NA,3,0,1
数字,1.695652,4.750 ,6.318 ,1.308 ,4248,31538,3
女性,NA,3.786 ,6.238 ,2.875 ,62,33181,112
体育运动员,NA,NA,NA,NA,NA,NA,3
小溪,NA,NA,NA,NA,337,20531,1
飞机,1.36,3.900 ,6.227 ,1.600 ,14964,37007,558
脑袋,NA,4.750 ,5.955 ,1.929 ,6454,33355,1
运输卡车,NA,NA,NA,NA,NA,NA,1
救生员吉普车,NA,NA,NA,NA,NA,NA,1
飞机模型,NA,NA,NA,NA,NA,NA,1
冲浪人,NA,NA,NA,NA,NA,NA,1
胡萝卜,NA,NA,NA,NA,671,23522,4
象征,3.884615,3.214 ,5.227 ,2.667 ,1258,26253,1
牛像,NA,NA,NA,NA,NA,NA,1
预感,3.653846,NA,NA,NA,1365,26609,1
婚礼长裙,NA,NA,NA,NA,NA,NA,1
港口,1.434783,5.462 ,5.667 ,3.273 ,885,24728,4
挺,NA,NA,NA,NA,22664,3881,1
超市,1.514286,NA,NA,NA,1312,26435,2
短袖衬衣,NA,NA,NA,NA,NA,NA,2
通道,NA,3.444 ,5.409 ,2.182 ,1854,27938,2
房间,1.62963,4.800 ,5.818 ,1.462 ,21487,38578,2
鸡扒,NA,NA,NA,NA,NA,NA,2
运动服,NA,NA,NA,NA,167,17482,8
床边,NA,NA,NA,NA,NA,NA,1
黄油,NA,3.500 ,5.045 ,3.091 ,864,24624,1
领带,1.346154,NA,NA,NA,1523,27084,27
运输船,NA,NA,NA,NA,21,8451,1
蕃茄酱,NA,NA,NA,NA,NA,NA,2
写字台,NA,NA,NA,NA,45,11761,3
院子,NA,3.833 ,6.364 ,1.571 ,1133,25798,1
滑雪手,NA,NA,NA,NA,NA,NA,1
罐头,1.666667,5.333 ,5.476 ,2.071 ,599,23032,1
脸盆,NA,NA,NA,NA,12,6021,1
色拉,NA,NA,NA,NA,361,20828,1
勋章,2,NA,NA,NA,894,24771,1
葡萄,1.565217,3.615 ,6.636 ,1.933 ,709,23766,1
计程车,NA,NA,NA,NA,721,23838,3
滑坡,NA,NA,NA,NA,3,1,1
羊屁股,NA,NA,NA,NA,NA,NA,1
套装,2.096774,NA,NA,NA,489,22148,13
油炸圈饼,NA,NA,NA,NA,NA,NA,2
热带鸟,NA,NA,NA,NA,NA,NA,1
短衫,NA,NA,NA,NA,NA,NA,1
奔驰,2.030303,5.833 ,5.727 ,3.182 ,462,21903,1
三明治,NA,NA,NA,NA,3422,30599,25
批萨,NA,NA,NA,NA,NA,NA,1
笔记本电脑桌,NA,NA,NA,NA,NA,NA,1
设备,2.178571,5.938 ,6.455 ,2.200 ,33,30441,1
玻璃,1.258065,2.778 ,6.273 ,1.750 ,3377,30542,5
琴,NA,NA,NA,NA,936,24969,1
村,NA,NA,NA,NA,1553,27168,1
肉饼,NA,NA,NA,NA,274,19638,2
宝,NA,NA,NA,NA,2328,28927,1
垫子,NA,NA,NA,NA,45,2179,4
汽车座椅,NA,NA,NA,NA,NA,NA,1
外国男子,NA,NA,NA,NA,NA,NA,1
清洁人员,NA,NA,NA,NA,NA,NA,1
铁窗,NA,NA,NA,NA,78,1415,1
公牛,1.703704,NA,NA,NA,474,22014,4
奶,NA,NA,NA,NA,2313,28899,1
餐盘,NA,NA,NA,NA,63,13222,1
西装打领带,NA,NA,NA,NA,NA,NA,1
宅邸,NA,NA,NA,NA,122,16128,1
货车箱,NA,NA,NA,NA,NA,NA,1
公仔,NA,NA,NA,NA,NA,NA,1
老头子,NA,NA,NA,NA,724,23856,1
休息点,NA,NA,NA,NA,NA,NA,1
肥肉,NA,NA,NA,NA,221,18692,1
费劲,NA,NA,NA,NA,414,2143,1
西装外套,NA,NA,NA,NA,NA,NA,3
小屋,NA,NA,NA,NA,1341,26532,7
工作人员,NA,NA,NA,NA,NA,NA,1
猫碗,NA,NA,NA,NA,NA,NA,1
青菜,NA,6.000 ,5.682 ,1.385 ,6,1301,2
运输机,NA,NA,NA,NA,11,15682,1
衣领,NA,NA,NA,NA,158,17243,18
剃毛,NA,NA,NA,NA,NA,NA,1
衣服,1.551724,4.250 ,6.364 ,1.857 ,24235,39101,692
厨台,NA,NA,NA,NA,NA,NA,1
祖母,NA,5.923 ,6.045 ,1.333 ,172,27612,1
便装,NA,NA,NA,NA,69,13617,1
门牌,1.461538,NA,NA,NA,63,13222,4
轮椅,NA,NA,NA,NA,113,25786,2
绿碗,NA,NA,NA,NA,NA,NA,1
故宫,NA,NA,NA,NA,NA,NA,1
铜狗,NA,NA,NA,NA,NA,NA,1
滑水,NA,NA,NA,NA,NA,NA,2
门牌号码,NA,NA,NA,NA,NA,NA,1
草莓,1.115385,NA,NA,NA,951,25038,21
胸罩,NA,NA,NA,NA,748,23997,1
棍子,NA,5.417 ,5.136 ,2.571 ,802,24298,1
网球球员,NA,NA,NA,NA,NA,NA,1
公园的长椅上,NA,NA,NA,NA,NA,NA,3
女人们,NA,NA,NA,NA,NA,NA,2
鼠,NA,NA,NA,NA,1651,27435,6
船坞,1.8,NA,NA,NA,203,18325,3
后视镜,NA,NA,NA,NA,137,16628,57
人的上半身,NA,NA,NA,NA,NA,NA,1
生活必需品,NA,NA,NA,NA,NA,NA,1
古董车,NA,NA,NA,NA,NA,NA,1
旅馆床,NA,NA,NA,NA,NA,NA,1
玩具狗,NA,NA,NA,NA,NA,NA,8
橄榄球衣,NA,NA,NA,NA,NA,NA,1
三文治,NA,NA,NA,NA,6,301,5
橄榄球员,NA,NA,NA,NA,NA,NA,1
焦糖奶泡,NA,NA,NA,NA,NA,NA,1
滑冰女孩,NA,NA,NA,NA,NA,NA,1
酒吧,1.28,NA,NA,NA,8847,34725,1
炸鸡三文治,NA,NA,NA,NA,NA,NA,1
马夹,NA,NA,NA,NA,NA,NA,2
背行,NA,NA,NA,NA,NA,NA,1
盆子,NA,NA,NA,NA,92,14914,7
旅馆,1.5,4.714 ,5.905 ,2.400 ,5133,3236,1
国防部大楼,NA,NA,NA,NA,NA,NA,1
人物,NA,5.143 ,6.318 ,3.063 ,6004,33041,1
小木屋,NA,NA,NA,NA,NA,NA,2
老鹰,NA,NA,NA,NA,748,23997,9
背包男,NA,NA,NA,NA,NA,NA,1
摄影师,NA,NA,NA,NA,2227,28733,1
标签,2.043478,NA,NA,NA,1002,25263,2
酱料,NA,NA,NA,NA,NA,NA,5
儿童桌,NA,NA,NA,NA,NA,NA,1
滑雪运动员,NA,NA,NA,NA,NA,NA,11
汽车架,NA,NA,NA,NA,NA,NA,1
披萨女人,NA,NA,NA,NA,NA,NA,1
面高,NA,NA,NA,NA,NA,NA,1
车座,NA,NA,NA,NA,92,14914,1
音乐家,NA,NA,NA,NA,635,23284,1
轮滑弯道,NA,NA,NA,NA,NA,NA,1
刀把,NA,NA,NA,NA,6,1301,1
西兰花,NA,NA,NA,NA,NA,NA,1
冰淇凌,NA,NA,NA,NA,NA,NA,1
香肠,NA,4.750 ,4.474 ,2.818 ,1192,26021,13
路面,NA,NA,NA,NA,161,17324,1
手,NA,NA,NA,NA,44744,41764,27
长裙,NA,NA,NA,NA,8,14314,1
大衣,NA,5.231 ,6.333 ,2.500 ,969,25119,7
塔可,NA,NA,NA,NA,NA,NA,1
酒桌,NA,NA,NA,NA,NA,NA,2
打扫,NA,5.750 ,6.500 ,1.500 ,2218,28716,1
烤箱,NA,NA,NA,NA,584,22923,1
网球拍与男孩,NA,NA,NA,NA,NA,NA,1
饭菜,1.7,NA,NA,NA,325,20374,1
合照,2.086957,NA,NA,NA,3,0,2
熊仔饼,NA,NA,NA,NA,NA,NA,1
出租车,NA,NA,NA,NA,4537,31824,24
猫猫,NA,NA,NA,NA,NA,NA,1
镇,NA,NA,NA,NA,4728,32003,2
福特,NA,NA,NA,NA,897,24786,1
滑雪板老兄的脚,NA,NA,NA,NA,NA,NA,1
女人,NA,6.083 ,6.318 ,1.231 ,4289,4158,860
行李架,NA,NA,NA,NA,15,699,1
男人,1.230769,4.308 ,6.182 ,1.462 ,34603,40648,737
网球拍,NA,NA,NA,NA,45,11761,5
胸牌,NA,NA,NA,NA,NA,NA,1
皮艇,NA,NA,NA,NA,69,13617,5
有球拍的人,NA,NA,NA,NA,NA,NA,1
餐具,NA,NA,NA,NA,37,20934,12
婚礼,1.833333,NA,NA,NA,10079,3529,1
披萨饼,NA,NA,NA,NA,NA,NA,9
手按在小孩子的头上,NA,NA,NA,NA,NA,NA,1
挎包,NA,NA,NA,NA,NA,NA,1
河马,1.423077,NA,NA,NA,206,18388,1
麦芬,NA,NA,NA,NA,NA,NA,1
棉服,NA,NA,NA,NA,NA,NA,1
绒毛玩具,NA,NA,NA,NA,NA,NA,1
操场,1.194444,3.273 ,6.455 ,1.176 ,414,2143,1
肠,NA,NA,NA,NA,635,23284,1
游戏手控,NA,NA,NA,NA,NA,NA,1
火车站,NA,NA,NA,NA,701,23711,2
连身裙,NA,NA,NA,NA,NA,NA,1
键盘和鼠标,NA,NA,NA,NA,NA,NA,1
校巴,NA,NA,NA,NA,NA,NA,2
便利店,NA,NA,NA,NA,NA,NA,1
躯干,NA,NA,NA,NA,122,16128,3
划水板,NA,NA,NA,NA,NA,NA,1
沔阳,NA,NA,NA,NA,NA,NA,1
军机,NA,NA,NA,NA,21,8451,1
披风,NA,NA,NA,NA,224,18751,1
风筝情侣,NA,NA,NA,NA,NA,NA,1
旗子,NA,5.214 ,5.091 ,1.750 ,331,20453,2
鼠标键盘,NA,NA,NA,NA,NA,NA,1
客户,NA,NA,NA,NA,6463,33361,1
大巴,NA,NA,NA,NA,259,19395,13
办公桌,NA,NA,NA,NA,513,22355,30
屋檐,NA,NA,NA,NA,271,1959,1
抛锚的车,NA,NA,NA,NA,NA,NA,1
羽绒服,NA,NA,NA,NA,6,301,3
厕所,1.230769,5.889 ,5.864 ,2.333 ,5014,32258,9
女孩,1.346154,NA,NA,NA,39339,41205,561
宠物与主人,NA,NA,NA,NA,NA,NA,1
杯蛋糕,NA,NA,NA,NA,NA,NA,3
串,NA,NA,NA,NA,1163,25911,1
摩托车者,NA,NA,NA,NA,NA,NA,1
滑雪人,NA,NA,NA,NA,NA,NA,3
老爷车,NA,NA,NA,NA,89,14771,2
亚洲人,NA,NA,NA,NA,NA,NA,1
甜圏,NA,NA,NA,NA,NA,NA,1
女热,NA,NA,NA,NA,NA,NA,1
饭桌,NA,NA,NA,NA,113,15798,2
帆布,1.666667,NA,NA,NA,122,16128,1
圈子,3.457143,3.000 ,6.000 ,3.412 ,954,25051,1
卡車,NA,NA,NA,NA,NA,NA,1
汤碗汤碗,NA,NA,NA,NA,NA,NA,1
猫,NA,NA,NA,NA,9,4771,24
外衣,1.657143,2.929 ,5.591 ,2.813 ,465,21931,11
带伞的婴儿,NA,NA,NA,NA,NA,NA,1
袖子,NA,5.700 ,5.455 ,1.667 ,486,22122,1
狗模型,NA,NA,NA,NA,NA,NA,1
窗边,NA,NA,NA,NA,NA,NA,1
西蓝花,NA,NA,NA,NA,NA,NA,1
外层,NA,NA,NA,NA,78,1415,1
城墙,1.148148,NA,NA,NA,262,19445,5
踢球的足球运动员,NA,NA,NA,NA,NA,NA,1
圆饼,NA,NA,NA,NA,NA,NA,1
玩具熊,NA,NA,NA,NA,NA,NA,7
匕首,NA,NA,NA,NA,391,21173,3
水桶,1.166667,NA,NA,NA,134,16532,8
雪服,NA,NA,NA,NA,NA,NA,1
叉,NA,NA,NA,NA,632,23263,2
笔记本电脑,NA,NA,NA,NA,NA,NA,16
事物,NA,4.250 ,6.318 ,1.250 ,2376,29015,2
电脑桌,NA,NA,NA,NA,NA,NA,11
滑滑板,NA,NA,NA,NA,NA,NA,1
罗里,NA,NA,NA,NA,101,15315,1
滑浪选手,NA,NA,NA,NA,NA,NA,1
马尾巴,NA,NA,NA,NA,NA,NA,2
甜甜圈,NA,NA,NA,NA,NA,NA,26
蓬松的狗,NA,NA,NA,NA,NA,NA,1
烤肠,NA,NA,NA,NA,NA,NA,3
栅栏,1.583333,NA,NA,NA,56,22742,14
游玩,NA,NA,NA,NA,95,15051,2
木栅栏,NA,NA,NA,NA,NA,NA,1
滑板管,NA,NA,NA,NA,NA,NA,1
遥控器,NA,NA,NA,NA,563,22765,2
摆件,NA,NA,NA,NA,NA,NA,2
手臂,NA,NA,NA,NA,2486,29212,4
滑雪的人,NA,NA,NA,NA,NA,NA,1
被子,NA,6.000 ,5.619 ,1.818 ,37,20934,21
灯,NA,NA,NA,NA,12,6021,18
老婆婆,NA,NA,NA,NA,98,15185,1
猫咪,NA,NA,NA,NA,NA,NA,1
海鸟,NA,NA,NA,NA,36,10792,4
南瓜,1.172414,NA,NA,NA,894,24771,1
门牌号,NA,NA,NA,NA,45,11761,2
铁丝网,NA,NA,NA,NA,227,18808,1
蔬菜叶子,NA,NA,NA,NA,NA,NA,1
杯,NA,NA,NA,NA,22479,38774,8
光,NA,NA,NA,NA,11265,35774,2
旅客,NA,6.000 ,6.227 ,1.692 ,489,22148,1
靠背,NA,NA,NA,NA,27,9542,5
火车轨道,NA,NA,NA,NA,NA,NA,2
轨,NA,NA,NA,NA,265,19494,1
键盘,1.130435,NA,NA,NA,393,21206,6
鸡汉堡,NA,NA,NA,NA,NA,NA,1
骑马,NA,NA,NA,NA,984,25185,1
地下道,NA,NA,NA,NA,NA,NA,1
玩具,1.466667,4.000 ,5.714 ,2.200 ,3804,31059,51
弃船,NA,NA,NA,NA,NA,NA,1
图片,1.791667,NA,NA,NA,1353,26571,2
炒米饭,NA,NA,NA,NA,NA,NA,1
历史悠久的酒店,NA,NA,NA,NA,NA,NA,1
骑,NA,NA,NA,NA,4242,31532,1
美术家,NA,NA,NA,NA,6,301,1
飞行,2.043478,5.714 ,6.050 ,1.833 ,3127,30208,3
圈圈,NA,NA,NA,NA,167,17482,2
独木舟,NA,NA,NA,NA,113,15798,2
蛋卷,1.434783,NA,NA,NA,402,21303,2
歼击机,NA,NA,NA,NA,6,301,1
过街天桥,NA,NA,NA,NA,NA,NA,1
洗手间,NA,NA,NA,NA,2847,298,1
头发,1.608696,4.933 ,6.682 ,1.083 ,1179,35971,4
裙,NA,NA,NA,NA,838,24487,9
围栏,NA,NA,NA,NA,313,20212,5
水龙头,NA,NA,NA,NA,218,18633,11
奖状,NA,NA,NA,NA,45,11761,1
选手,1.68,NA,NA,NA,11125,35719,8
和服,1.692308,NA,NA,NA,206,18388,24
墙壁,1.32,6.385 ,6.318 ,1.444 ,704,23729,4
棚子,NA,NA,NA,NA,134,16532,20
屋頂,NA,NA,NA,NA,NA,NA,1
火炉,NA,NA,NA,NA,206,18388,2
熊人,NA,NA,NA,NA,NA,NA,1
笼子,1.384615,4.308 ,6.909 ,3.091 ,1014,25315,1
批塞,NA,NA,NA,NA,NA,NA,1
牛排刀,NA,NA,NA,NA,NA,NA,1
运动员孟菲尔斯,NA,NA,NA,NA,NA,NA,1
白布,NA,NA,NA,NA,15,699,1
书桌狗,NA,NA,NA,NA,NA,NA,1
海岸,1.884615,NA,NA,NA,2167,28615,1
过生日的人,NA,NA,NA,NA,NA,NA,1
炙烤,NA,NA,NA,NA,NA,NA,5
坐椅,1.391304,NA,NA,NA,9,4771,1
面子,NA,3.800 ,5.636 ,2.600 ,888,24742,2
女网选手,NA,NA,NA,NA,NA,NA,1
上下铺,NA,NA,NA,NA,NA,NA,1
行人道,NA,NA,NA,NA,NA,NA,1
炸鸡,1.458333,NA,NA,NA,388,21139,3
厨房,1.416667,4.692 ,5.905 ,2.417 ,4838,32103,3
皮肤,1.461538,4.700 ,5.864 ,2.333 ,3437,30618,1
可乐,1.346154,NA,NA,NA,1186,25999,2
道,NA,NA,NA,NA,11199,35748,1
桶,NA,NA,NA,NA,1669,27482,46
储物室,NA,NA,NA,NA,NA,NA,1
汽艇,NA,NA,NA,NA,6,1301,1
相机,1.275862,NA,NA,NA,1634,27388,2
偷窥,2.375,NA,NA,NA,566,22788,1
锚,NA,NA,NA,NA,238,19031,1
男女,1.875,NA,NA,NA,85,24548,1
阳伞,1.652174,NA,NA,NA,104,15441,6
牡丹,1.482759,NA,NA,NA,57,12788,1
弓,NA,NA,NA,NA,373,20969,2
迪士尼公主,NA,NA,NA,NA,NA,NA,1
婴儿,1.242424,4.714 ,5.850 ,2.000 ,42,31489,41
车站,1.645161,4.846 ,6.182 ,1.357 ,1625,27364,3
外套,NA,NA,NA,NA,2579,2937,65
塔楼,1.884615,NA,NA,NA,149,1699,6
蛋挞,NA,NA,NA,NA,NA,NA,1
浴衣,1.565217,NA,NA,NA,107,15563,16
鹦鹉娃娃,NA,NA,NA,NA,NA,NA,1
树,NA,NA,NA,NA,6409,33324,9
花盆,1.481481,NA,NA,NA,78,1415,2
蒲公英花,NA,NA,NA,NA,NA,NA,1
墙角,NA,NA,NA,NA,134,16532,3
邮政,NA,5.000 ,5.409 ,3.600 ,128,16335,1
棒球男孩,NA,NA,NA,NA,NA,NA,1
奶油刀,NA,NA,NA,NA,NA,NA,1
装饰品,NA,NA,NA,NA,268,19542,3
展示自行车,NA,NA,NA,NA,NA,NA,1
意粉,NA,NA,NA,NA,NA,NA,7
依着,NA,NA,NA,NA,NA,NA,1
非洲商人,NA,NA,NA,NA,NA,NA,1
煎饼,NA,NA,NA,NA,888,24742,5
雀,NA,NA,NA,NA,185,17924,2
番茄汤,NA,NA,NA,NA,NA,NA,4
公路,1.576923,3.143 ,6.273 ,2.375 ,2808,29741,2
摩托车手,NA,NA,NA,NA,NA,NA,3
双人床,NA,NA,NA,NA,66,13424,3
小便斗,NA,NA,NA,NA,NA,NA,1
蝴蝶,1.125,5.250 ,5.905 ,1.643 ,1172,25944,1
汽车头,NA,NA,NA,NA,NA,NA,1
浴帘,NA,NA,NA,NA,NA,NA,1
运动员,NA,NA,NA,NA,2027,28325,444
皮筏艇,NA,NA,NA,NA,NA,NA,3
毛衣,NA,6.231 ,6.381 ,2.400 ,999,2525,49
照明灯,NA,NA,NA,NA,54,12553,1
市场,2.866667,3.769 ,6.727 ,2.733 ,3213,30326,1
便池,NA,NA,NA,NA,39,11139,1
床脚,NA,NA,NA,NA,NA,NA,1
网球护具,NA,NA,NA,NA,NA,NA,1
轮滑者,NA,NA,NA,NA,NA,NA,1
计算机,NA,NA,NA,NA,1243,26201,4
袍,NA,NA,NA,NA,498,22227,3
乌鸦,1.133333,4.538 ,4.143 ,3.455 ,578,22878,4
套头衫,NA,NA,NA,NA,33,10414,2
手机,NA,NA,NA,NA,10833,35604,86
有冲浪板的女人,NA,NA,NA,NA,NA,NA,1
僧服,NA,NA,NA,NA,NA,NA,1
赵灿,NA,NA,NA,NA,NA,NA,1
哭泣的婴儿,NA,NA,NA,NA,NA,NA,1
英语,NA,NA,NA,NA,3535,30741,1
小孩子,NA,NA,NA,NA,1887,28014,5
假手,NA,NA,NA,NA,3,1,1
钱包,1.24,NA,NA,NA,2972,29987,1
架子,2.217391,5.917 ,6.773 ,2.467 ,85,24548,3
薯条披萨,NA,NA,NA,NA,NA,NA,1
雪,NA,NA,NA,NA,2886,29859,3
大巴车,NA,NA,NA,NA,NA,NA,2
比萨饼边,NA,NA,NA,NA,NA,NA,1
婚服,NA,NA,NA,NA,NA,NA,1
面包车,NA,NA,NA,NA,146,16902,42
牛逼,NA,NA,NA,NA,NA,NA,1
工作台,NA,NA,NA,NA,83,14472,1
糖霜,NA,NA,NA,NA,125,16232,4
车镜子,NA,NA,NA,NA,NA,NA,1
狗和沙发,NA,NA,NA,NA,NA,NA,1
连衣裙,NA,NA,NA,NA,128,16335,54
鹤,NA,NA,NA,NA,3,0,13
蛋糕,1.346154,3.357 ,6.455 ,1.417 ,5923,32982,298
水牛,NA,NA,NA,NA,319,20294,2
皮筏,NA,NA,NA,NA,15,699,3
披萨边,NA,NA,NA,NA,NA,NA,5
狗带,NA,NA,NA,NA,NA,NA,1
馅儿,NA,NA,NA,NA,9,4771,1
吊带裙,NA,NA,NA,NA,NA,NA,1
奶油,1.72,NA,NA,NA,1499,27016,22
外墙,NA,NA,NA,NA,NA,NA,1
猫狗,NA,NA,NA,NA,NA,NA,1
剪裁,NA,NA,NA,NA,63,13222,1
水壶,1.28,NA,NA,NA,206,18388,20
青柠,NA,NA,NA,NA,NA,NA,4
立交桥,NA,NA,NA,NA,42,11461,3
食品,NA,5.357 ,6.762 ,1.917 ,2027,28325,2
警车,NA,NA,NA,NA,674,23541,12
镜子,1.4,5.923 ,6.048 ,1.643 ,2301,28876,97
铁路,1.36,3.077 ,6.182 ,1.846 ,724,23856,11
桌子和椅子,NA,NA,NA,NA,NA,NA,1
比赛,2.25,4.778 ,6.045 ,2.091 ,31974,40304,1
黑人,NA,NA,NA,NA,6179,33166,3
棒球运动员,NA,NA,NA,NA,NA,NA,8
僧人,1.416667,NA,NA,NA,95,15051,1
轨道桥,NA,NA,NA,NA,NA,NA,1
护士,NA,3.923 ,5.409 ,2.600 ,4069,31351,18
浴池,NA,NA,NA,NA,122,16128,10
学习桌,NA,NA,NA,NA,NA,NA,3
艇,NA,NA,NA,NA,241,19085,1
面包胚,NA,NA,NA,NA,NA,NA,2
桌,NA,NA,NA,NA,1845,27917,10
固体胶,NA,NA,NA,NA,NA,NA,1
番茄汁,NA,NA,NA,NA,NA,NA,1
照相机,NA,NA,NA,NA,745,23979,4
酸奶碗,NA,NA,NA,NA,NA,NA,2
总线,NA,NA,NA,NA,27,9542,1
乳牛,1.576923,NA,NA,NA,36,10792,1
小孩的脸,NA,NA,NA,NA,NA,NA,1
陈设,2.64,NA,NA,NA,9,4771,1
救援车,NA,NA,NA,NA,NA,NA,2
船,NA,NA,NA,NA,12648,36277,463
水管,1.083333,NA,NA,NA,918,24886,1
水果,1.730769,4.308 ,6.591 ,1.545 ,1762,27716,16
工作服,NA,NA,NA,NA,233,18921,2
风衣,NA,NA,NA,NA,54,12553,1
蛋清糖霜,NA,NA,NA,NA,NA,NA,1
学生,1.615385,2.400 ,6.455 ,1.800 ,877,34686,2
厂,NA,NA,NA,NA,3,0,1
鸭,NA,NA,NA,NA,6,301,3
家,NA,NA,NA,NA,179,17782,2
白雪公主,NA,NA,NA,NA,182,17853,2
快餐店,NA,NA,NA,NA,188,17993,1
剪彩,2.083333,NA,NA,NA,57,12788,1
豚鼠,NA,NA,NA,NA,48,12041,5
刀叉,NA,NA,NA,NA,75,13979,10
摩托女孩,NA,NA,NA,NA,NA,NA,1
生活用品,NA,NA,NA,NA,NA,NA,1
座椅,NA,NA,NA,NA,265,19494,12
围墙,1.533333,NA,NA,NA,256,19345,1
沐浴露,NA,NA,NA,NA,NA,NA,1
长袍,NA,NA,NA,NA,316,20253,2
耳环,1.478261,NA,NA,NA,885,24728,1
薯条,1.225806,NA,NA,NA,1082,25599,3
