word,concreteness,imageability,familiarity,age_of_acquisition,freq_zh,log_freq_zh,freq_mn
台面,NA,NA,NA,NA,143,16812,4
门,NA,NA,NA,NA,12,6021,2
合服,NA,NA,NA,NA,NA,NA,1
城堡,1.678571,NA,NA,NA,2072,2842,44
肩,NA,NA,NA,NA,915,24871,2
烤熊饼,NA,NA,NA,NA,NA,NA,1
庄园,1.962963,NA,NA,NA,647,23365,1
毯子,1.259259,NA,NA,NA,1082,25599,4
移动的,NA,NA,NA,NA,NA,NA,1
货车,1.24,NA,NA,NA,1896,28035,77
摄像机,NA,NA,NA,NA,2248,28774,1
牛毛,NA,NA,NA,NA,9,4771,1
侧视镜,NA,NA,NA,NA,NA,NA,1
衣物,NA,NA,NA,NA,358,20792,1
女士,NA,3.545 ,6.381 ,2.294 ,31431,4023,102
芝士,1.633333,NA,NA,NA,587,22945,7
球台,NA,NA,NA,NA,36,10792,1
羊,NA,NA,NA,NA,2078,28432,493
贸易,2.88,4.600 ,5.810 ,3.357 ,692,23655,1
面包刀,NA,NA,NA,NA,NA,NA,1
商场,1.451613,6.000 ,5.667 ,1.462 ,1324,26474,1
车,NA,NA,NA,NA,9,4771,946
沙拉菜,NA,NA,NA,NA,NA,NA,1
完全帽,NA,NA,NA,NA,NA,NA,1
男性,NA,NA,NA,NA,2695,29562,22
棒球,1.166667,NA,NA,NA,3419,30596,17
名牌,2,NA,NA,NA,462,21903,1
法棍,NA,NA,NA,NA,NA,NA,1
成人,1.655172,NA,NA,NA,1496,27007,1
泰迪熊的女人,NA,NA,NA,NA,NA,NA,1
起重机,NA,NA,NA,NA,253,19294,1
船边,NA,NA,NA,NA,NA,NA,1
正脸,NA,NA,NA,NA,NA,NA,1
充电器,NA,NA,NA,NA,164,17404,1
汉堡坯,NA,NA,NA,NA,NA,NA,1
肉片,NA,NA,NA,NA,57,12788,1
行人,1.870968,2.917 ,5.591 ,2.133 ,197,18195,3
景点,NA,NA,NA,NA,92,14914,1
哭,NA,NA,NA,NA,11366,35813,1
旋螺桨,NA,NA,NA,NA,NA,NA,1
海鸥,1.392857,NA,NA,NA,28,19731,11
屋,NA,NA,NA,NA,4176,31464,8
连廊,NA,NA,NA,NA,NA,NA,1
头盔,1.076923,NA,NA,NA,1073,25563,77
视频游戏控制器,NA,NA,NA,NA,NA,NA,1
汽车罩,NA,NA,NA,NA,NA,NA,2
长椅,NA,NA,NA,NA,259,19395,7
早餐,1.586207,NA,NA,NA,3717,30959,28
干果,1.633333,NA,NA,NA,42,11461,1
标志,2.625,3.267 ,5.000 ,2.250 ,2093,28463,1
玻璃杯,NA,NA,NA,NA,194,18129,1
因动员,NA,NA,NA,NA,NA,NA,1
棒球衣,NA,NA,NA,NA,NA,NA,3
打球,NA,NA,NA,NA,172,27612,5
车视镜,NA,NA,NA,NA,NA,NA,1
小刀,NA,NA,NA,NA,286,19823,7
孩子们看到,NA,NA,NA,NA,NA,NA,1
滑雪选手,NA,NA,NA,NA,NA,NA,1
展示东西,NA,NA,NA,NA,NA,NA,1
啤酒罐,NA,NA,NA,NA,NA,NA,1
客人,1.638889,4.923 ,5.909 ,2.333 ,578,32876,1
